Moneda,Siglas,Precio,Cambio 1 h,Cambio 24 h,Cambio 7 d,Volumen en 24 horas,Cap. de mercado,FDV,Cap merc/FDV,Cluster,Grupo
Lido DAO,LDO,1.74,-2.0,-5.2,-6.5,50831085,1528884356,1739661705,088,0,0
Cronos,CRO,0.06,-0.2,-0.5,-2.8,4409773,1479102079,1692619679,087,0,0
Mantle,MNT,0.46,0.0,-0.5,-10.2,6282975,1476483395,2839194852,052,0,0
Quant,QNT,101.13,0.1,0.4,-1.2,15667267,1470251758,1477157817,100,0,0
Arbitrum,ARB,1.15,0.0,1.2,0.0,107248234,1468117561,11514647537,013,0,0
VeChain,VET,0.02,-0.1,-2.1,2.1,27570820,1321560964,1575971866,084,0,0
NEAR Protocol,NEAR,1.32,-0.1,-1.0,-3.1,41313382,1243664904,1320699290,094,0,0
Maker,MKR,1229.92,-0.1,-1.3,0.1,89302912,1111170930,1239714145,090,0,0
Optimism,OP,1.52,-0.3,-0.3,-9.2,79483897,1095303875,6563744745,017,0,0
Rocket Pool ETH,RETH,1998.66,0.1,-0.2,-0.9,4760111,995187220,995187220,100,0,0
The Graph,GRT,0.11,-0.2,-1.9,-1.3,46829698,972975776,1065881235,091,0,0
Aave,AAVE,64.95,-0.1,-0.8,-2.4,53798413,943094001,1039658466,091,0,0
XDC Network,XDC,0.06,7.6,3.4,-2.4,14702915,899483387,2457436392,037,0,0
Algorand,ALGO,0.11,-0.1,-2.2,-1.7,28574015,879842951,1124916458,078,0,0
WhiteBIT Coin,WBT,5.72,1.0,2.2,3.1,8160293,823641492,2286011566,036,0,0
Frax,FRAX,1.0,0.0,-0.0,-0.1,14507732,811129221,811129221,100,0,0
Stacks,STX,0.58,-0.2,-0.7,-1.3,4757281,810170513,1052930149,077,0,0
Kaspa,KAS,0.04,1.9,-3.7,-15.1,16149955,806537324,1147853583,070,0,0
EOS,EOS,0.71,-0.2,-1.0,-2.4,63465156,792458237,0,-,0,0
The Sandbox,SAND,0.38,-0.5,-1.4,-5.9,73837985,792278877,1154963681,069,0,0
MultiversX,EGLD,30.35,-0.5,-1.5,-4.4,9307938,784918440,954337538,082,0,0
Synthetix Network,SNX,2.41,-0.3,-2.6,-7.0,29336621,776412453,778159003,100,0,0
ImmutableX,IMX,0.68,-0.2,-2.1,-7.9,21292368,760895720,1354641077,056,0,0
Axie Infinity,AXS,5.75,-0.8,-1.4,-3.7,43401716,754785510,1555287802,049,0,0
Theta Network,THETA,0.74,-0.1,-0.7,1.9,13404068,742965184,742965184,100,0,0
Tezos,XTZ,0.78,-0.2,-1.8,-2.4,14835042,734137348,0,-,0,0
ApeCoin,APE,1.98,-0.8,-4.3,7.0,71870281,730716263,1982443443,037,0,0
USDD,USDD,1.0,-0.0,0.0,-0.1,25689841,723049889,0,-,0,0
Bitcoin SV,BSV,35.72,0.0,0.4,-1.5,25040699,687826480,749730022,092,0,0
Fantom,FTM,0.24,-0.6,-1.4,0.0,49778637,665692866,754274154,088,0,0
Decentraland,MANA,0.36,-0.4,-1.7,-4.0,42935826,658015853,783431910,084,0,0
FLEX Coin,FLEX,6.58,2.8,10.6,-4.1,199654,650555170,651022169,100,0,0
Bitget Token,BGB,0.45,0.1,-1.1,-2.7,11618017,627206114,896008094,070,0,0
Render,RNDR,1.68,0.0,-1.6,3.4,15081247,622413012,894220457,070,0,0
Injective,INJ,7.39,0.4,-2.7,-9.5,27448877,618482418,738437484,084,0,0
Radix,XRD,0.06,-2.1,4.3,10.3,3282408,597514432,1401234738,043,0,0
NEO,NEO,8.32,-0.4,-2.2,-2.9,16752606,587747509,833329801,071,0,0
GALA,GALA,0.02,-0.9,-2.9,-5.0,341236091,567306840,1118360398,051,0,0
Kava,KAVA,0.81,-0.6,-2.5,-2.3,8070961,566566449,566581130,100,0,0
eCash,XEC,0.0,0.2,0.1,-5.0,7545004,564614199,608940589,093,0,0
Flow,FLOW,0.54,-0.3,-2.0,-4.1,15864227,559944274,783909551,071,0,0
Pepe,PEPE,0.0,-0.7,-4.0,10.1,89448239,559648544,559648544,100,0,0
Gate,GT,4.07,0.1,-0.4,-0.5,302121,558728452,1220219089,046,0,0
KuCoin,KCS,5.49,-0.1,-0.4,-2.2,532645,531126035,791931450,067,0,0
Rollbit Coin,RLB,0.16,4.1,-6.6,9.4,16999457,531027074,805330400,066,0,0
Rocket Pool,RPL,26.69,0.9,-2.1,3.8,4485808,523480995,523480995,100,0,0
Chiliz,CHZ,0.07,0.0,-1.2,-2.6,26872982,517291498,659171335,078,0,0
Pax Dollar,USDP,1.0,-0.0,-0.1,-0.2,3455709,505920428,505920428,100,0,0
cETH,CETH,36.94,0.0,-0.2,-0.7,493294,497922625,497922625,100,0,0
Klaytn,KLAY,0.15,-0.5,-1.9,-1.6,7459908,494473225,0,-,0,0
Curve DAO,CRV,0.57,-0.5,-1.6,-6.8,43821882,488961521,1885160245,026,0,0
Frax Share,FXS,6.66,-0.7,-1.5,4.5,44290065,485166114,664117452,073,0,0
PAX Gold,PAXG,1902.05,-0.1,0.0,-1.7,7423673,472402525,472402525,100,0,0
Tether Gold,XAUT,1904.21,-0.0,-0.3,-1.1,4205424,469427705,469427705,100,0,0
IOTA,MIOTA,0.17,-0.4,-1.2,-5.3,4451124,462157925,462157925,100,0,0
Frax Ether,FRXETH,1836.33,0.0,-0.2,-0.6,2647520,459803857,459805284,100,0,0
THORChain,RUNE,1.49,1.6,6.0,50.7,166234008,451723000,751117655,060,0,0
Terra,LUNC,0.0,-0.3,-1.0,-1.6,17728444,450249463,529426517,085,0,0
Mina Protocol,MINA,0.47,-0.4,-2.2,2.6,12052249,443891756,496280696,089,0,0
Tokenize Xchange,TKX,5.48,-0.1,-2.1,-4.3,7439343,438184328,547757798,080,0,0
BitTorrent,BTT,0.0,0.2,-1.0,-1.4,21835642,433879215,451472167,096,0,0
Casper Network,CSPR,0.04,-0.3,-1.1,-4.8,3656258,429137471,455419733,094,0,0
Sui,SUI,0.59,-0.1,-1.2,-1.0,51594847,423709715,5859124279,007,0,0
